Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
Arizona Diamondbacks,53,4.7,0.695,162,1458,1071,12918,5761,4306,1399,56,134,0.99,47,4,46,0,9
Atlanta Braves,51,4.42,0.685,162,1458,1210,12960,5741,4320,1339,82,134,0.986,15,1,16,0,2
Baltimore Orioles,50,4.19,0.696,162,1458,991,13083,5876,4361,1444,71,140,0.988,35,3,34,0,-3
Boston Red Sox,56,4.79,0.677,162,1458,1059,12870,5821,4290,1429,102,137,0.982,-15,-1,-20,-2,-2
Chicago Cubs,48,4.46,0.694,162,1458,1130,12918,5888,4306,1490,92,137,0.984,4,0,36,0,1
Chicago White Sox,56,5.19,0.685,162,1458,1088,12885,5639,4295,1249,95,117,0.983,-64,-6,-59,-4,-11
Cincinnati Reds,65,5.07,0.685,162,1458,989,12954,5692,4318,1283,91,125,0.984,-11,-1,-38,-1,1
Cleveland Guardians,50,4.3,0.698,162,1458,1127,12996,5833,4332,1418,83,119,0.986,10,1,24,0,3
Colorado Rockies,57,5.91,0.67,162,1458,1146,12726,5839,4242,1516,81,169,0.986,18,2,20,0,-1
Detroit Tigers,50,4.57,0.699,162,1458,991,12981,5830,4327,1403,100,129,0.983,28,3,22,0,1
Houston Astros,41,4.31,0.697,162,1458,1164,13008,5763,4336,1346,81,144,0.986,23,2,15,0,5
Kansas City Royals,58,5.3,0.685,162,1458,1081,12681,5698,4227,1391,80,123,0.986,-22,-2,-15,0,3
Los Angeles Angels,66,5.12,0.682,162,1458,1059,12885,5674,4295,1284,95,125,0.983,-65,-6,1,0,-6
Los Angeles Dodgers,58,4.31,0.709,162,1458,985,13017,5821,4339,1406,76,139,0.987,38,4,57,0,-2
Miami Marlins,52,4.46,0.683,162,1458,1061,12918,5816,4306,1412,98,144,0.983,-26,-2,-11,0,8
Milwaukee Brewers,58,3.99,0.719,162,1458,1059,12987,5813,4329,1407,77,117,0.987,62,6,68,4,5
Minnesota Twins,47,4.07,0.697,162,1458,924,13062,5706,4354,1286,66,116,0.988,-5,0,33,0,2
New York Mets,58,4.5,0.689,162,1458,1119,12747,5731,4249,1394,88,142,0.985,-38,-4,-25,-1,3
New York Yankees,54,4.31,0.704,162,1458,1108,12957,5842,4319,1427,96,113,0.984,19,2,27,1,-9
Oakland Athletics,62,5.7,0.678,162,1458,1046,12777,5630,4259,1269,102,124,0.982,-65,-6,-79,-1,-13
Philadelphia Phillies,44,4.41,0.695,162,1458,1104,12981,5803,4327,1385,91,117,0.984,-7,-1,-30,0,6
Pittsburgh Pirates,58,4.88,0.686,162,1458,996,12870,5784,4290,1403,91,135,0.984,-31,-3,3,1,-5
San Diego Padres,55,4,0.702,162,1458,1142,12969,5840,4323,1444,73,130,0.988,37,3,40,0,3
Seattle Mariners,55,4.07,0.7,162,1458,1148,13044,5800,4348,1379,73,123,0.987,21,2,15,0,5
San Francisco Giants,51,4.44,0.679,162,1458,965,12912,6027,4304,1606,117,143,0.981,-34,-3,-15,0,-9
St. Louis Cardinals,52,5.12,0.67,162,1458,1109,12855,5944,4285,1592,67,154,0.989,-66,-6,-7,-2,3
Tampa Bay Rays,58,4.1,0.703,162,1458,1107,12978,5802,4326,1401,75,114,0.987,30,3,25,0,-10
Texas Rangers,48,4.42,0.703,162,1458,1109,12927,5789,4309,1423,57,143,0.99,46,4,35,0,-1
Toronto Blue Jays,46,4.14,0.693,162,1458,1084,13065,5733,4355,1307,71,125,0.988,20,2,85,0,3
Washington Nationals,48,5.22,0.682,162,1458,1148,12855,5880,4285,1505,90,158,0.985,-27,-3,-30,0,-4
League Average,48,4.62,0.691,162,1458,1077,12926,5794,4309,1401,84,132,0.986,-1,0,9,0,0